"","genre","year","m_popularity","m_danceability","m_energy","m_loudness","m_acousticness","m_tempo","m_duration_ms","m_valence","m_liveness"
"199","rap",1973,38,0.645,0.453,-10.087,0.758,96.449,306933,0.521,0.0798
"200","rap",1974,64.5,0.5955,0.457,-11.2835,0.421,111.358,260900,0.6775,0.27215
"201","rap",1976,36,0.612,0.462,-9.519,0.7,79.607,292000,0.695,0.643
"202","rap",1978,72,0.714,0.937,-2.947,0.206,124.13,194147,0.964,0.0731
"203","rap",1981,36,0.7305,0.3875,-15.5015,0.0989,102.906,265733,0.715,0.07095
"204","rap",1982,62.5,0.863,0.737,-7.142,0.037,119.7385,344920,0.8235,0.14155
"205","rap",1983,39,0.773,0.45,-15.083,0.272,79.715,331933,0.889,0.0907
"206","rap",1984,43,0.919,0.975,-5.636,0.0898,102.982,189947,0.884,0.248
"207","rap",1985,45,0.797,0.617666666666667,-8.956,0.19401,111.080333333333,267969,0.544333333333333,0.0910333333333333
"208","rap",1986,57,0.775,0.658,-10.664,0.01013,100.449,257986.5,0.9175,0.20575
"209","rap",1987,48.375,0.753375,0.590375,-11.414125,0.092007125,129.449125,279581.625,0.62825,0.1821625
"210","rap",1988,40.8,0.825428571428571,0.655028571428571,-10.2107142857143,0.0574961428571429,112.503085714286,285677.285714286,0.661942857142857,0.190688571428571
"211","rap",1989,43.2,0.8484,0.6598,-10.533,0.177058,111.3116,261922.6,0.7632,0.18826
"212","rap",1990,41.3571428571429,0.801285714285714,0.547142857142857,-12.1295714285714,0.0542764285714286,108.503357142857,272799.071428571,0.579142857142857,0.189407142857143
"213","rap",1991,43.92,0.77884,0.62752,-11.35972,0.08274752,110.09444,260797.56,0.65168,0.197184
"214","rap",1992,40.3658536585366,0.766390243902439,0.64509756097561,-10.3138292682927,0.136969929268293,111.558317073171,266063.097560976,0.652756097560976,0.203707317073171
"215","rap",1993,49.6944444444444,0.770277777777778,0.630125,-9.92877777777778,0.127476277777778,103.2855,263927.847222222,0.600652777777778,0.275477777777778
"216","rap",1994,47.9,0.7639375,0.678125,-7.8501375,0.1372715875,109.0073875,262074.325,0.5952975,0.2297375
"217","rap",1995,46.9333333333333,0.748106666666667,0.66868,-7.50061333333333,0.114507026666667,106.047586666667,266883.506666667,0.577498666666667,0.244625333333333
"218","rap",1996,46.2,0.780621052631579,0.671757894736842,-7.68658947368421,0.0948613684210526,104.345378947368,268876.705263158,0.621105263157895,0.24978
"219","rap",1997,38.265306122449,0.753061224489796,0.674122448979592,-7.16997959183673,0.0869294897959184,122.266224489796,264988.489795918,0.613816326530612,0.253697959183673
"220","rap",1998,29.0720720720721,0.782945945945946,0.677594594594595,-7.15182882882883,0.0875421531531532,110.845072072072,274802.135135135,0.592981981981982,0.200036036036036
"221","rap",1999,32.8876404494382,0.74752808988764,0.759696629213483,-5.53573033707865,0.13609896247191,118.997685393258,246440.04494382,0.641370786516854,0.213877528089888
"222","rap",2000,31.037037037037,0.771388888888889,0.732759259259259,-6.33981481481482,0.0801976666666667,112.30312962963,258544.481481481,0.674611111111111,0.202401851851852
"223","rap",2001,29.4406779661017,0.787796610169492,0.720406779661017,-6.01164406779661,0.0853105508474576,112.628711864407,273330.474576271,0.630033898305085,0.201994915254237
"224","rap",2002,38.2777777777778,0.744462962962963,0.710888888888889,-5.32964814814815,0.118752407407407,118.660277777778,269380.962962963,0.592968518518519,0.227248148148148
"225","rap",2003,36.8571428571429,0.719214285714286,0.766571428571429,-4.55257142857143,0.156447918367347,111.477989795918,251159.489795918,0.677112244897959,0.194302040816327
"226","rap",2004,34.3333333333333,0.755311111111111,0.728611111111111,-5.69721111111111,0.103940555555556,120.309222222222,248008.333333333,0.637948888888889,0.193304444444444
"227","rap",2005,30.7539682539683,0.711595238095238,0.700722222222222,-5.94693650793651,0.0925023095238095,116.087642857143,245163.603174603,0.571613492063492,0.21451746031746
"228","rap",2006,35.7524752475247,0.712356435643564,0.701940594059406,-5.98690099009901,0.129893544554455,121.479702970297,241778.099009901,0.623316831683168,0.195886138613861
"229","rap",2007,35.7613636363636,0.702443181818182,0.744647727272727,-5.44722727272727,0.130539875,113.687886363636,247376.988636364,0.613961363636364,0.228988636363636
"230","rap",2008,32.3733333333333,0.692373333333333,0.67228,-6.43949333333333,0.152762635733333,122.329653333333,258740.28,0.601626666666667,0.208634666666667
"231","rap",2009,26.3275862068966,0.670586206896552,0.75198275862069,-5.55793103448276,0.123280498275862,124.084431034483,258155.810344828,0.583034482758621,0.26815
"232","rap",2010,29.0540540540541,0.674202702702703,0.694513513513514,-6.41236486486486,0.117227162162162,117.132027027027,252614.243243243,0.556418918918919,0.216704054054054
"233","rap",2011,31.5375,0.6702375,0.726425,-5.9890375,0.1331658875,116.286175,244993.075,0.56220625,0.23967375
"234","rap",2012,31.2478632478632,0.635598290598291,0.724623931623932,-6.04475213675214,0.0958535042735043,113.98847008547,252503.948717949,0.504592307692308,0.24014188034188
"235","rap",2013,24.6881720430108,0.662655913978495,0.724698924731183,-6.13882795698925,0.097123311827957,121.709623655914,242713.731182796,0.483344086021505,0.223067741935484
"236","rap",2014,30.8742857142857,0.663485714285714,0.713125714285714,-6.13113142857143,0.129035866285714,119.626857142857,233790.274285714,0.4956,0.207944342857143
"237","rap",2015,40.0978723404255,0.699127659574468,0.667872340425532,-6.56855744680851,0.139301885106383,119.64389787234,215117.906382979,0.42637914893617,0.209365106382979
"238","rap",2016,40.4576271186441,0.671654237288136,0.671949152542373,-6.46601355932203,0.119215611186441,126.243261016949,213688.33559322,0.400929491525424,0.200018305084746
"239","rap",2017,37.7494600431965,0.715546436285097,0.648203887688985,-6.70086393088553,0.204431196544276,123.886045356371,206654.414686825,0.424047084233261,0.184438012958963
"240","rap",2018,43.4751773049645,0.717412765957447,0.590458723404255,-7.76264822695035,0.280276768794326,122.160685106383,186167.222695035,0.454978723404255,0.173345106382979
"241","rap",2019,53.8179824561403,0.725203947368421,0.613451589912281,-7.37361074561403,0.255764994473684,124.678575109649,183335.259868421,0.477373848684211,0.166063103070175
"242","rap",2020,50.6352201257862,0.717559748427673,0.612106918238994,-7.68452201257862,0.249290062893082,121.706031446541,182531.169811321,0.469293081761006,0.18352641509434
"243","rap",NA,79,0.491,0.583,-10.964,0.182,150.572,183307,0.907,0.407
"244","rock",1958,73,0.647,0.582,-9.538,0.41,167.396,146480,0.915,0.0715
"245","rock",1962,64,0.816,0.514,-8.741,0.767,136.837,176333,0.912,0.0899
"246","rock",1963,36.25,0.5115,0.51275,-13.00025,0.6405,148.7265,244333.25,0.68825,0.083275
"247","rock",1964,42.75,0.570125,0.79325,-6.67625,0.337125,133.33025,147136.625,0.7625,0.087975
"248","rock",1965,52,0.58825,0.782625,-7.939625,0.24078125,117.79125,210994.125,0.7455,0.13605
"249","rock",1966,53.6923076923077,0.457692307692308,0.699,-8.90161538461538,0.304476923076923,124.385692307692,237275.307692308,0.693384615384615,0.292846153846154
"250","rock",1967,45.6451612903226,0.476129032258065,0.573064516129032,-9.72151612903226,0.34191,111.970322580645,227833.290322581,0.537967741935484,0.177109677419355
"251","rock",1968,58.5263157894737,0.438526315789474,0.659421052631579,-10.6767894736842,0.210731684210526,126.367157894737,252667.052631579,0.558947368421053,0.230336842105263
"252","rock",1969,47.1,0.54098,0.627,-9.58972,0.2283,116.59112,236386.82,0.61136,0.173658
"253","rock",1970,44.7605633802817,0.526704225352113,0.626902816901408,-9.96207042253521,0.234356422535211,127.869577464789,242323.112676056,0.621521126760563,0.177974647887324
"254","rock",1971,43.078125,0.523453125,0.650578125,-10.102734375,0.312472390625,121.239625,307571.515625,0.52884375,0.1829171875
"255","rock",1972,52.2058823529412,0.552441176470588,0.602617647058824,-11.0693529411765,0.277496297205882,124.789411764706,248458,0.668191176470588,0.176663235294118
"256","rock",1973,45.7368421052632,0.483621052631579,0.637284210526316,-9.41406315789474,0.242305684210526,126.365063157895,266657.042105263,0.581115789473684,0.200934736842105
"257","rock",1974,40.1791044776119,0.500611940298507,0.62934328358209,-10.2768358208955,0.280881235820896,119.756119402985,233648.373134328,0.586611940298507,0.201428358208955
"258","rock",1975,48.6161616161616,0.508606060606061,0.57659595959596,-10.6832424242424,0.287186595959596,119.565767676768,280770.474747475,0.560486868686869,0.207136363636364
"259","rock",1976,44.6864406779661,0.522898305084746,0.653889830508475,-8.95401694915254,0.183970262711864,124.947245762712,264703.711864407,0.586183898305085,0.18158813559322
"260","rock",1977,50.2688172043011,0.533247311827957,0.657338709677419,-8.79996774193548,0.202701390215054,126.677569892473,249157.064516129,0.573150537634409,0.196817204301075
"261","rock",1978,45.7272727272727,0.568790909090909,0.690318181818182,-8.78881818181818,0.163830863636364,122.361063636364,243669.436363636,0.637145454545455,0.18128
"262","rock",1979,50.3571428571429,0.574271428571429,0.680557142857143,-8.7299,0.158187164285714,124.0834,255357.228571429,0.635737142857143,0.149078571428571
"263","rock",1980,52.3176470588235,0.543376470588235,0.7004,-8.43027058823529,0.174692811764706,128.017094117647,249994.823529412,0.610070588235294,0.203803529411765
