"","genre","subgenre","year","subgenre_mean"
"615","rap","southern hip hop",1991,43.375
"616","rap","southern hip hop",1992,41.9090909090909
"617","rap","southern hip hop",1993,50.1428571428571
"618","rap","southern hip hop",1994,51.4791666666667
"619","rap","southern hip hop",1995,45.3921568627451
"620","rap","southern hip hop",1996,42.5818181818182
"621","rap","southern hip hop",1997,39.1153846153846
"622","rap","southern hip hop",1998,27.5135135135135
"623","rap","southern hip hop",1999,29.7111111111111
"624","rap","southern hip hop",2000,31.4571428571429
"625","rap","southern hip hop",2001,30.875
"626","rap","southern hip hop",2002,38.4324324324324
"627","rap","southern hip hop",2003,36.04
"628","rap","southern hip hop",2004,34
"629","rap","southern hip hop",2005,33.8840579710145
"630","rap","southern hip hop",2006,37.2105263157895
"631","rap","southern hip hop",2007,38.4210526315789
"632","rap","southern hip hop",2008,31.8181818181818
"633","rap","southern hip hop",2009,24.1612903225806
"634","rap","southern hip hop",2010,27.9411764705882
"635","rap","southern hip hop",2011,34.1627906976744
"636","rap","southern hip hop",2012,28.2650602409639
"637","rap","southern hip hop",2013,24.1967213114754
"638","rap","southern hip hop",2014,28.28
"639","rap","southern hip hop",2015,40.3048780487805
"640","rap","southern hip hop",2016,36.9765625
"641","rap","southern hip hop",2017,37.381679389313
"642","rap","southern hip hop",2018,42.1754385964912
"643","rap","southern hip hop",2019,50.3529411764706
"644","rap","southern hip hop",NA,79
"645","rap","trap",2012,51.75
"646","rap","trap",2013,33.25
"647","rap","trap",2014,45.4545454545455
"648","rap","trap",2015,47.2857142857143
"649","rap","trap",2016,50.5294117647059
"650","rap","trap",2017,45.9166666666667
"651","rap","trap",2018,43.2462686567164
"652","rap","trap",2019,53.9987577639752
"653","rap","trap",2020,41.9285714285714
"654","rock","album rock",1963,59
"655","rock","album rock",1964,15.5
"656","rock","album rock",1965,76
"657","rock","album rock",1966,63.3333333333333
"658","rock","album rock",1967,46.375
"659","rock","album rock",1968,59.2
"660","rock","album rock",1969,43.0909090909091
"661","rock","album rock",1970,36.56
"662","rock","album rock",1971,42.5238095238095
"663","rock","album rock",1972,51.2727272727273
"664","rock","album rock",1973,38.7222222222222
"665","rock","album rock",1974,40.6216216216216
"666","rock","album rock",1975,52.5454545454545
"667","rock","album rock",1976,43.7878787878788
"668","rock","album rock",1977,51.56
"669","rock","album rock",1978,43.1891891891892
"670","rock","album rock",1979,57.5
"671","rock","album rock",1980,47
"672","rock","album rock",1981,60.3333333333333
"673","rock","album rock",1982,50.7727272727273
